DFT, Frequency Response Magnitude
881.836, -114.7365
884.766, -89.6694
887.695, -87.0065
890.625, -88.2268
893.555, -91.4924
896.484, -87.7454
899.414, -86.7984
902.344, -93.8954
905.273, -96.0589
908.203, -101.7807
911.133, -86.9178
914.062, -82.4654
916.992, -97.9022
919.922, -83.8195
922.852, -94.2068
925.781, -103.2264
928.711, -92.2330
931.641, -91.4388
934.570, -89.0104
937.500, -84.1136
940.430, -98.9584
943.359, -90.3109
946.289, -95.5616
949.219, -99.1740
952.148, -94.9483
955.078, -90.1332
958.008, -87.4500
960.938, -102.4082
963.867, -94.3181
966.797, -85.4659
969.727, -92.6521
972.656, -94.4760
975.586, -90.5331
978.516, -85.8741
981.445, -86.0645
984.375, -85.3399
987.305, -79.4578
990.234, -86.5996
993.164, -97.3096
996.094, -93.4457
999.023, -88.0096
1001.953, -101.0138
1004.883, -82.3804
1007.812, -86.2787
1010.742, -86.2987
1013.672, -89.0212
1016.602, -97.2595
1019.531, -104.2992
1022.461, -89.9304
1025.391, -91.1286
1028.320, -85.6128
1031.250, -85.3502
1034.180, -86.2998
1037.109, -86.7430
1040.039, -90.6176
1042.969, -90.0447
1045.898, -86.1071
1048.828, -87.7835
1051.758, -94.5103
1054.688, -85.2960
1057.617, -93.1001
1060.547, -87.8535
1063.477, -96.9381
1066.406, -93.4906
1069.336, -90.6040
1072.266, -90.4657
1075.195, -84.7865
1078.125, -86.2593
1081.055, -84.6735
1083.984, -86.5886
1086.914, -86.9911
1089.844, -93.1429
1092.773, -88.6062
1095.703, -90.7077
1098.633, -88.8740
1101.562, -88.1870
1104.492, -83.6315
1107.422, -82.8496
1110.352, -85.2223
1113.281, -88.7922
1116.211, -90.6763
1119.141, -106.0191
1122.070, -84.5177
1125.000, -85.1447
1127.930, -84.6729
1130.859, -86.7803
1133.789, -88.4013
1136.719, -107.0202
1139.648, -83.8023
1142.578, -90.6150
1145.508, -82.9708
1148.438, -85.7558
1151.367, -90.5220
1154.297, -83.1227
1157.227, -88.0540
1160.156, -95.8467
1163.086, -95.6261
1166.016, -88.4381
1168.945, -89.9033
1171.875, -84.9820
1174.805, -88.6663
1177.734, -83.0637
1180.664, -98.1814
1183.594, -85.3593
1186.523, -92.5508
1189.453, -94.1883
1192.383, -94.7947
1195.312, -85.5962
1198.242, -83.1288
1201.172, -88.2397
1204.102, -91.3511
1207.031, -88.6564
1209.961, -85.4165
1212.891, -84.6285
1215.820, -90.9308
1218.750, -83.0044
1221.680, -87.2424
1224.609, -90.8169
1227.539, -93.9582
1230.469, -84.4310
1233.398, -93.2760
1236.328, -88.0035
1239.258, -85.2361
1242.188, -83.8861
1245.117, -82.1825
1248.047, -92.8030
1250.977, -88.1477
1253.906, -103.0888
1256.836, -85.2367
1259.766, -85.3168
1262.695, -84.3673
1265.625, -86.1936
1268.555, -89.0448
1271.484, -90.5135
1274.414, -99.7816
1277.344, -86.4934
1280.273, -89.6865
1283.203, -88.9994
1286.133, -85.0091
1289.062, -81.8612
1291.992, -87.2976
1294.922, -80.6409
1297.852, -96.7965
1300.781, -83.3256
1303.711, -82.7871
1306.641, -84.7898
1309.570, -80.6046
1312.500, -92.0412
1315.430, -80.8254
1318.359, -85.8802
1321.289, -88.3938
1324.219, -89.9261
1327.148, -85.5282
1330.078, -91.9304
1333.008, -88.2205
1335.938, -82.4315
1338.867, -82.2011
1341.797, -88.0902
1344.727, -85.9190
1347.656, -87.0537
1350.586, -100.2959
1353.516, -86.9578
1356.445, -82.0893
1359.375, -95.4967
1362.305, -83.0225
1365.234, -88.3963
1368.164, -81.8583
1371.094, -89.5731
1374.023, -92.0862
1376.953, -88.1995
1379.883, -88.7077
1382.812, -82.9000
1385.742, -82.1720
1388.672, -87.0365
1391.602, -89.7668
1394.531, -86.7169
1397.461, -82.6532
1400.391, -86.8776
1403.320, -81.0699
1406.250, -93.6908
1409.180, -84.2938
1412.109, -86.7311
1415.039, -95.3099
1417.969, -95.8471
1420.898, -88.9417
1423.828, -102.6835
1426.758, -91.1808
1429.688, -89.4545
1432.617, -82.6407
1435.547, -90.2109
1438.477, -89.3976
1441.406, -95.9732
1444.336, -97.5010
1447.266, -95.3158
1450.195, -85.1420
1453.125, -79.9654
1456.055, -84.2144
1458.984, -85.3048
1461.914, -86.9936
1464.844, -84.1511
1467.773, -86.4995
1470.703, -85.9966
1473.633, -85.6650
1476.562, -92.5668
1479.492, -90.5125
1482.422, -76.3930
1485.352, -81.7201
1488.281, -104.8298
1491.211, -93.3935
1494.141, -87.4384
1497.070, -82.4988
1500.000, -83.0569
1502.930, -86.3208
1505.859, -82.8462
1508.789, -92.6902
1511.719, -82.4894
1514.648, -87.2951
1517.578, -82.7970
1520.508, -86.0203
1523.438, -91.3478
1526.367, -83.1617
1529.297, -97.0477
1532.227, -93.3669
1535.156, -94.6128
1538.086, -85.6778
1541.016, -93.6057
1543.945, -81.0394
1546.875, -84.2901
1549.805, -93.8516
1552.734, -83.7505
1555.664, -88.4995
1558.594, -91.7146
1561.523, -87.7742
1564.453, -93.2084
1567.383, -88.4695
1570.312, -78.6104
1573.242, -84.7259
1576.172, -82.2083
1579.102, -104.5188
1582.031, -83.8731
1584.961, -87.8418
1587.891, -88.0170
1590.820, -93.9163
1593.750, -80.3781
1596.680, -84.9318
1599.609, -85.6968
1602.539, -92.3105
1605.469, -99.7904
1608.398, -100.6654
1611.328, -85.6845
1614.258, -115.6874
1617.188, -92.7793
1620.117, -82.6347
1623.047, -91.2696
1625.977, -111.2643
1628.906, -89.7544
1631.836, -90.1883
1634.766, -93.2913
1637.695, -103.3791
1640.625, -80.2321
1643.555, -81.1491
1646.484, -89.6911
1649.414, -92.0637
1652.344, -83.1702
1655.273, -96.5731
1658.203, -88.0926
1661.133, -84.7354
1664.062, -96.5848
1666.992, -81.7220
1669.922, -81.8172
1672.852, -90.0616
1675.781, -87.5242
1678.711, -83.4797
1681.641, -91.9573
1684.570, -91.6062
1687.500, -81.6529
1690.430, -96.5805
1693.359, -88.7100
1696.289, -98.9188
1699.219, -89.6232
1702.148, -92.9699
1705.078, -87.6736
1708.008, -89.0740
1710.938, -78.9557
1713.867, -87.1080
1716.797, -98.7043
1719.727, -86.4739
1722.656, -96.3278
1725.586, -87.0281
1728.516, -81.8992
1731.445, -86.5475
1734.375, -102.6383
1737.305, -81.2105
1740.234, -83.2855
1743.164, -88.4546
1746.094, -89.7124
1749.023, -89.9250
1751.953, -93.9449
1754.883, -98.9342
1757.812, -82.8281
1760.742, -83.8870
1763.672, -86.6306
1766.602, -83.4720
1769.531, -84.6529
1772.461, -95.7372
1775.391, -86.4621
1778.320, -88.9949
1781.250, -78.9589
1784.180, -89.3160
1787.109, -81.7105
1790.039, -93.8536
1792.969, -80.0454
1795.898, -89.1123
1798.828, -82.2206
1801.758, -92.7686
1804.688, -85.5049
1807.617, -83.2786
1810.547, -86.8230
1813.477, -87.0808
1816.406, -85.5410
1819.336, -88.8643
1822.266, -85.4420
1825.195, -88.3893
1828.125, -82.2807
1831.055, -84.6115
1833.984, -82.3394
1836.914, -101.8404
1839.844, -84.0498
1842.773, -88.2004
1845.703, -87.9725
1848.633, -84.9535
1851.562, -88.3433
1854.492, -90.3161
1857.422, -83.1317
1860.352, -94.2366
1863.281, -87.8256
1866.211, -91.3425
1869.141, -98.2676
1872.070, -79.5646
1875.000, -87.6244
1877.930, -81.4113
1880.859, -91.5467
1883.789, -99.1397
1886.719, -85.5420
1889.648, -88.4694
1892.578, -96.9593
1895.508, -90.5591
1898.438, -78.8766
1901.367, -82.7771
1904.297, -81.7937
1907.227, -102.5860
1910.156, -81.4091
1913.086, -93.0394
1916.016, -92.4385
1918.945, -84.4795
1921.875, -83.1282
1924.805, -80.0801
1927.734, -93.8625
1930.664, -85.7951
1933.594, -85.8039
1936.523, -87.8357
1939.453, -89.7559
1942.383, -84.8823
1945.312, -89.7188
1948.242, -90.1448
1951.172, -81.9800
1954.102, -92.5201
1957.031, -89.3730
1959.961, -83.1453
1962.891, -98.2039
1965.820, -83.4054
1968.750, -82.4061
1971.680, -77.7466
1974.609, -81.8849
1977.539, -89.9580
1980.469, -87.0695
1983.398, -91.9088
1986.328, -87.1740
1989.258, -85.6596
1992.188, -84.5456
1995.117, -80.2563
1998.047, -76.4645
2000.977, -91.2718
2003.906, -82.8377
2006.836, -85.5074
2009.766, -96.6879
2012.695, -81.1942
2015.625, -98.7776
2018.555, -83.3047
2021.484, -85.0659
2024.414, -85.6921
2027.344, -85.6173
2030.273, -83.1222
2033.203, -88.9058
2036.133, -91.9542
2039.062, -91.3687
2041.992, -83.5888
2044.922, -77.7487
2047.852, -83.8881
2050.781, -92.7187
2053.711, -85.6749
2056.641, -84.6079
2059.570, -81.0772
2062.500, -95.4581
2065.430, -78.9840
2068.359, -84.4400
2071.289, -91.3366
2074.219, -83.8689
2077.148, -80.8351
2080.078, -90.0190
2083.008, -83.7939
2085.938, -76.1290
2088.867, -81.3593
2091.797, -83.0387
2094.727, -82.6218
2097.656, -81.8118
2100.586, -80.9179
2103.516, -95.5116
2106.445, -82.6933
2109.375, -88.5704
2112.305, -82.8738
2115.234, -85.2354
2118.164, -94.7877
2121.094, -86.6878
2124.023, -85.6398
2126.953, -89.4434
2129.883, -90.4459
2132.812, -82.3276
2135.742, -85.3261
2138.672, -80.5603
2141.602, -86.6716
2144.531, -89.0456
2147.461, -84.7937
2150.391, -85.6532
2153.320, -86.2583
2156.250, -94.3610
2159.180, -81.2540
2162.109, -92.9333
2165.039, -97.4380
2167.969, -84.9100
2170.898, -83.0601
2173.828, -99.1576
2176.758, -89.4149
2179.688, -83.7477
2182.617, -79.1774
2185.547, -85.3914
2188.477, -85.0308
2191.406, -80.8429
2194.336, -86.7481
2197.266, -91.7175
2200.195, -87.6170
2203.125, -81.5806
2206.055, -79.8757
2208.984, -87.3229
2211.914, -93.6298
2214.844, -88.3618
2217.773, -92.3250
2220.703, -97.5382
2223.633, -95.3938
2226.562, -84.3575
2229.492, -79.1878
2232.422, -84.6302
2235.352, -94.0908
2238.281, -82.6532
2241.211, -88.3685
2244.141, -87.9079
2247.070, -90.6083
2250.000, -82.6868
2252.930, -80.0934
2255.859, -87.6459
2258.789, -84.7084
2261.719, -79.0131
2264.648, -87.0573
2267.578, -87.1702
2270.508, -80.5842
2273.438, -95.3165
2276.367, -81.2088
2279.297, -85.2424
2282.227, -80.3487
2285.156, -82.5948
2288.086, -97.3257
2291.016, -85.7417
2293.945, -90.4706
2296.875, -86.2708
2299.805, -86.4058
2302.734, -78.2544
2305.664, -81.5241
2308.594, -95.4635
2311.523, -89.5441
2314.453, -85.5080
2317.383, -86.3823
2320.312, -78.9351
2323.242, -79.2874
2326.172, -81.7600
2329.102, -87.9827
2332.031, -89.3098
2334.961, -91.0878
2337.891, -97.8341
2340.820, -87.4277
2343.750, -81.0191
2346.680, -77.4236
2349.609, -82.6556
2352.539, -83.5704
2355.469, -94.1245
2358.398, -89.0112
2361.328, -87.2364
2364.258, -95.7087
2367.188, -80.3778
2370.117, -82.9958
2373.047, -75.1620
2375.977, -93.2388
2378.906, -95.5921
2381.836, -81.9303
2384.766, -101.0856
2387.695, -86.6537
2390.625, -87.3285
2393.555, -79.4472
2396.484, -77.9909
2399.414, -85.9505
2402.344, -83.4127
2405.273, -84.1600
2408.203, -85.6574
2411.133, -91.4646
2414.062, -78.5383
2416.992, -81.3795
2419.922, -81.6973
2422.852, -84.0592
2425.781, -97.3789
2428.711, -89.7053
2431.641, -91.2551
2434.570, -92.8760
2437.500, -83.7024
2440.430, -82.9763
2443.359, -79.2374
2446.289, -85.2477
2449.219, -82.8345
2452.148, -92.9901
2455.078, -82.5359
2458.008, -89.1507
2460.938, -89.1591
2463.867, -81.9794
2466.797, -80.7735
2469.727, -89.5329
2472.656, -82.5345
2475.586, -91.3457
2478.516, -92.3920
2481.445, -84.5708
2484.375, -82.5738
2487.305, -81.7709
2490.234, -86.0575
2493.164, -88.0116
2496.094, -84.4091
2499.023, -86.2502
2501.953, -91.3053
2504.883, -86.6798
2507.812, -81.1834
2510.742, -81.6353
2513.672, -84.0859
2516.602, -91.7828
2519.531, -90.0084
2522.461, -86.4262
2525.391, -84.9922
2528.320, -106.5884
2531.250, -83.6862
2534.180, -79.5914
2537.109, -85.0340
2540.039, -89.5287
2542.969, -81.7285
2545.898, -104.4143
2548.828, -83.2723
2551.758, -82.8595
2554.688, -86.5577
2557.617, -82.0000
2560.547, -87.0361
2563.477, -93.0282
2566.406, -84.5039
2569.336, -86.7535
2572.266, -81.9932
2575.195, -91.8012
2578.125, -85.2479
2581.055, -80.3177
2583.984, -85.4806
2586.914, -87.1703
2589.844, -93.3120
2592.773, -93.1576
2595.703, -91.7352
2598.633, -88.5685
2601.562, -80.8112
2604.492, -77.0638
2607.422, -88.9397
2610.352, -80.7359
2613.281, -79.0963
2616.211, -98.2823
2619.141, -84.4536
2622.070, -88.8432
2625.000, -81.3732
2627.930, -84.7432
2630.859, -78.7213
2633.789, -86.3286
2636.719, -92.8001
2639.648, -87.4792
2642.578, -85.0180
2645.508, -95.7339
2648.438, -100.0100
2651.367, -77.8647
2654.297, -82.3933
2657.227, -96.4805
2660.156, -84.4832
2663.086, -85.4398
2666.016, -81.2862
2668.945, -81.1848
2671.875, -89.3059
2674.805, -85.5006
2677.734, -81.3972
2680.664, -98.5895
2683.594, -86.4317
2686.523, -84.6365
2689.453, -86.2770
2692.383, -92.6111
2695.312, -90.6123
2698.242, -79.4174
2701.172, -87.5945
2704.102, -90.3843
2707.031, -91.4452
2709.961, -88.9351
2712.891, -102.8977
2715.820, -85.9586
2718.750, -83.4396
2721.680, -80.4628
2724.609, -93.7632
2727.539, -90.5164
2730.469, -90.2775
2733.398, -85.9630
2736.328, -85.2491
2739.258, -90.2463
2742.188, -81.2465
2745.117, -76.6365
2748.047, -91.7822
2750.977, -85.5897
2753.906, -90.4733
2756.836, -81.4525
2759.766, -99.2118
2762.695, -83.7413
2765.625, -81.0504
2768.555, -78.5336
2771.484, -85.3527
2774.414, -88.4197
2777.344, -85.0237
2780.273, -87.0898
2783.203, -86.0255
2786.133, -88.3759
2789.062, -78.9089
2791.992, -79.1780
2794.922, -92.5467
2797.852, -81.5623
2800.781, -89.2708
2803.711, -89.2227
2806.641, -88.8332
2809.570, -88.1934
2812.500, -85.1215
2815.430, -80.9711
2818.359, -80.1583
2821.289, -83.1639
2824.219, -84.2735
2827.148, -81.4153
2830.078, -93.5394
2833.008, -84.5192
2835.938, -81.3126
2838.867, -79.4379
2841.797, -77.4741
2844.727, -92.1672
2847.656, -82.4896
2850.586, -96.4455
2853.516, -86.1808
2856.445, -82.9895
2859.375, -78.5053
2862.305, -83.7252
2865.234, -81.0776
2868.164, -87.4087
2871.094, -81.4134
2874.023, -89.5881
2876.953, -84.1997
2879.883, -83.0560
2882.812, -79.0215
2885.742, -86.9908
2888.672, -81.3063
2891.602, -92.1609
2894.531, -85.4271
2897.461, -84.1755
2900.391, -82.5442
2903.320, -82.8291
2906.250, -79.7135
2909.180, -83.8743
2912.109, -84.4912
2915.039, -90.4863
2917.969, -91.2007
2920.898, -89.8296
2923.828, -97.2719
2926.758, -103.2491
2929.688, -78.1675
2932.617, -78.3330
2935.547, -90.3018
2938.477, -87.1224
2941.406, -86.1916
2944.336, -87.6289
2947.266, -88.0896
2950.195, -83.7846
2953.125, -80.0539
2956.055, -76.2991
2958.984, -79.8989
2961.914, -80.5076
2964.844, -102.0370
2967.773, -86.2264
2970.703, -86.7779
2973.633, -83.7464
2976.562, -83.1279
2979.492, -81.9411
2982.422, -80.7702
2985.352, -79.0003
2988.281, -91.1369
2991.211, -88.2001
2994.141, -88.0768
2997.070, -99.7040
3000.000, -89.9094
3002.930, -81.7480
3005.859, -80.3997
3008.789, -90.8144
3011.719, -83.6127
3014.648, -89.5250
3017.578, -86.8592
3020.508, -85.2886
3023.438, -84.8522
3026.367, -85.9188
3029.297, -85.4555
3032.227, -85.5740
3035.156, -83.8995
3038.086, -84.3611
3041.016, -83.9652
3043.945, -91.3838
3046.875, -77.7912
3049.805, -79.0647
3052.734, -88.0316
3055.664, -86.0929
3058.594, -81.6971
3061.523, -83.5221
3064.453, -86.4103
3067.383, -84.2599
3070.312, -76.2547
3073.242, -90.9784
3076.172, -85.2473
3079.102, -85.6641
3082.031, -80.3170
3084.961, -84.4553
3087.891, -78.9793
3090.820, -86.5506
3093.750, -82.8148
3096.680, -76.3966
3099.609, -83.9307
3102.539, -80.2591
3105.469, -78.8038
3108.398, -86.2074
3111.328, -84.5008
3114.258, -82.4778
3117.188, -77.0816
3120.117, -83.8158
3123.047, -88.6005
3125.977, -101.2754
3128.906, -79.2360
3131.836, -91.4542
3134.766, -83.1828
3137.695, -91.7564
3140.625, -81.7408
3143.555, -79.1772
3146.484, -81.4249
3149.414, -82.9718
3152.344, -82.1160
3155.273, -83.6369
3158.203, -89.9033
3161.133, -90.6326
3164.062, -85.3742
3166.992, -76.3012
3169.922, -88.6497
3172.852, -87.9032
3175.781, -93.8989
3178.711, -89.9679
3181.641, -81.9378
3184.570, -89.4033
3187.500, -89.4759
3190.430, -74.6608
3193.359, -77.9911
3196.289, -85.5268
3199.219, -82.7838
3202.148, -90.1519
3205.078, -94.7936
3208.008, -79.1582
3210.938, -81.1968
3213.867, -76.9109
3216.797, -83.4343
3219.727, -79.4414
3222.656, -89.0249
3225.586, -83.6924
3228.516, -88.5452
3231.445, -89.8433
3234.375, -81.1728
3237.305, -74.8151
3240.234, -83.6442
3243.164, -100.0984
3246.094, -80.7253
3249.023, -92.5959
3251.953, -90.0615
3254.883, -90.0713
3257.812, -80.2565
3260.742, -78.4109
3263.672, -83.0639
3266.602, -91.9351
3269.531, -96.0872
3272.461, -85.3552
3275.391, -88.3744
3278.320, -81.9499
3281.250, -80.0703
3284.180, -82.5585
3287.109, -77.6609
3290.039, -96.2058
3292.969, -88.1670
3295.898, -86.0968
3298.828, -89.6723
3301.758, -86.6144
3304.688, -78.6496
3307.617, -83.0118
3310.547, -88.2064
3313.477, -82.4425
3316.406, -88.2857
3319.336, -82.0863
3322.266, -84.3142
3325.195, -101.4642
3328.125, -79.7166
3331.055, -80.9392
3333.984, -99.5430
3336.914, -91.0539
3339.844, -79.0268
3342.773, -79.8363
3345.703, -95.7414
3348.633, -87.7090
3351.562, -82.6958
3354.492, -79.5021
3357.422, -77.5990
3360.352, -86.8248
3363.281, -85.8435
3366.211, -89.5049
3369.141, -104.9912
3372.070, -88.5809
3375.000, -94.8774
3377.930, -76.4528
3380.859, -81.8857
3383.789, -83.1561
3386.719, -81.2383
3389.648, -93.5051
3392.578, -82.2024
3395.508, -79.9306
3398.438, -87.9800
3401.367, -79.6810
3404.297, -106.1378
3407.227, -88.5066
3410.156, -99.6186
3413.086, -91.4901
3416.016, -86.9739
3418.945, -89.7067
3421.875, -101.5122
3424.805, -77.0134
3427.734, -95.3551
3430.664, -92.8862
3433.594, -82.0890
3436.523, -89.5396
3439.453, -92.9488
3442.383, -85.1048
3445.312, -86.5493
3448.242, -78.9767
3451.172, -81.2292
3454.102, -89.6969
3457.031, -83.0843
3459.961, -96.1192
3462.891, -82.2704
3465.820, -84.3917
3468.750, -79.0114
3471.680, -79.9219
3474.609, -88.4916
3477.539, -85.8190
3480.469, -91.0813
3483.398, -91.9103
3486.328, -88.8412
3489.258, -92.4207
3492.188, -77.8994
3495.117, -75.3638
3498.047, -88.1667
3500.977, -90.4989
3503.906, -88.1605
3506.836, -82.9447
3509.766, -84.7078
3512.695, -84.8256
3515.625, -76.0475
3518.555, -80.6159
3521.484, -83.4109
3524.414, -86.1771
3527.344, -89.9541
3530.273, -77.4872
3533.203, -85.4135
3536.133, -85.5034
3539.062, -86.3132
3541.992, -79.8930
3544.922, -86.5402
3547.852, -80.9038
3550.781, -81.2270
3553.711, -96.2034
3556.641, -85.7291
3559.570, -84.8429
3562.500, -82.0209
3565.430, -78.0265
3568.359, -79.9128
3571.289, -90.0935
3574.219, -83.6589
3577.148, -81.4333
3580.078, -86.4394
3583.008, -82.8767
3585.938, -75.7645
3588.867, -77.0310
3591.797, -85.9789
3594.727, -77.8642
3597.656, -90.3914
3600.586, -85.6587
3603.516, -78.9149
3606.445, -93.3041
3609.375, -77.6518
3612.305, -76.1233
3615.234, -82.3935
3618.164, -90.8012
3621.094, -91.4187
3624.023, -98.9204
3626.953, -87.5372
3629.883, -85.3384
3632.812, -87.6014
3635.742, -81.6429
3638.672, -81.7096
3641.602, -95.6840
3644.531, -80.3040
3647.461, -91.0361
3650.391, -85.5907
3653.320, -83.6178
3656.250, -85.8332
3659.180, -77.4420
3662.109, -83.3594
3665.039, -86.6055
3667.969, -107.2962
3670.898, -82.3506
3673.828, -85.5743
3676.758, -81.6303
3679.688, -79.5695
3682.617, -85.9321
3685.547, -76.6552
3688.477, -90.0596
3691.406, -82.1569
3694.336, -86.3738
3697.266, -94.9673
3700.195, -90.3806
3703.125, -86.1889
3706.055, -78.3027
3708.984, -84.0741
3711.914, -85.6445
3714.844, -82.6820
3717.773, -76.4834
3720.703, -83.8793
3723.633, -93.6400
3726.562, -77.9075
3729.492, -86.7599
3732.422, -90.8607
3735.352, -77.5427
3738.281, -80.2493
3741.211, -80.2336
3744.141, -84.7695
3747.070, -91.7615
3750.000, -77.2158
3752.930, -78.0608
3755.859, -79.4440
3758.789, -87.2003
3761.719, -86.5431
3764.648, -82.8769
3767.578, -93.0595
3770.508, -83.4534
3773.438, -77.0737
3776.367, -74.4617
3779.297, -80.7658
3782.227, -83.6253
3785.156, -84.3363
3788.086, -82.3537
3791.016, -92.7924
3793.945, -89.2940
